,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,284,0,664,4,5592,4,1,0,1,2540
1,57,1,880,14,473,8,1,2,2,422
2,375,0,715,10,2901,4,1,0,1,1639
3,392,1,0,6,4227,3,1,2,0,670
4,265,0,0,9,627,1,0,2,1,865
5,297,1,0,0,563,8,1,2,2,523
6,333,1,395,13,744,1,0,2,1,332
7,322,0,6771,13,2009,0,1,2,3,2658
8,362,1,707,5,1638,5,1,1,1,930
9,392,1,5781,5,4420,7,1,1,1,2911
10,314,0,0,6,381,4,1,0,1,1246
11,385,1,3164,4,2992,2,2,0,1,1696
12,349,1,5987,6,3039,4,1,0,1,1299
13,376,1,3299,13,2413,2,2,0,1,1671
14,364,0,4551,6,4702,1,0,2,1,1552
15,272,1,4585,2,704,2,2,0,1,1266
16,314,0,130,8,2279,8,1,2,2,1322
17,272,1,4591,2,638,4,1,0,1,660
18,322,0,2207,7,2208,0,1,2,3,1765
19,330,0,6056,4,5244,6,2,1,1,2030
20,389,1,7017,13,5607,1,0,2,1,2558
21,322,1,2326,0,3005,0,1,2,3,2672
22,342,0,1420,9,4705,6,2,1,1,1297
23,322,0,3958,0,2006,0,2,0,0,207
24,335,1,1449,5,3685,2,2,0,1,2678
25,326,0,5983,9,392,7,1,1,1,753
26,184,1,4470,13,281,6,2,1,1,922
27,313,0,884,7,178,1,0,2,1,300
28,58,1,7416,4,380,3,1,2,0,165
29,322,1,4745,3,322,0,2,0,0,100
30,393,0,7528,4,681,3,1,2,0,144
31,386,0,5229,8,1623,8,1,2,2,2026
32,387,0,0,13,5736,8,1,2,2,2212
33,379,0,0,1,1508,5,1,1,1,1687
34,375,0,5910,14,3973,2,2,0,1,1630
35,293,0,5568,8,3088,4,1,0,1,2564
36,322,1,4071,6,2710,0,1,2,3,2058
37,259,1,6369,14,2531,8,1,2,2,1314
38,322,1,6668,13,110,0,1,2,3,374
39,322,0,1529,13,1339,0,1,2,3,1690
40,330,0,6057,4,5246,2,2,0,1,2408
41,291,0,1566,10,2647,1,0,2,1,1674
42,332,0,6500,13,4586,4,1,0,1,1901
43,414,0,4587,3,5799,8,1,2,2,3351
44,318,1,2925,3,2663,1,0,2,1,359
45,90,0,5574,4,4093,3,1,2,0,345
46,396,0,0,8,3305,5,1,1,1,1843
47,293,0,1446,3,5925,5,1,1,1,3206
48,359,1,6611,0,825,2,2,0,1,1932
49,322,1,7830,4,4722,0,2,0,0,709
50,163,0,4541,8,2983,2,2,0,1,2247
51,295,0,7376,5,2895,1,0,2,1,762
52,292,1,1725,3,2331,1,0,2,1,733
53,304,0,4367,6,4700,7,1,1,1,2240
54,318,0,1731,9,3245,7,1,1,1,2944
55,203,0,219,13,5580,8,1,2,2,3288
56,280,0,3375,9,1951,5,1,1,1,1655
57,232,0,4733,7,149,4,1,0,1,724
58,349,0,7573,13,4639,2,2,0,1,2976
59,322,0,4148,3,4160,0,2,0,0,793
60,293,0,0,6,5539,8,1,2,2,2275
61,208,1,2735,10,1331,5,1,1,1,921
62,322,0,331,6,153,0,1,2,3,456
63,322,1,7244,5,552,0,2,0,0,124
64,322,0,1478,13,5712,0,1,2,3,1912
65,377,0,7733,13,4347,3,1,2,0,173
66,394,0,2121,10,3895,6,2,1,1,2964
67,333,1,5142,4,4366,5,1,1,1,960
68,376,0,2851,14,3677,5,1,1,1,1764
69,246,0,7142,8,1604,2,2,0,1,1592
70,356,1,6162,13,3817,2,2,0,1,2408
71,359,1,6607,0,786,1,0,2,1,559
72,383,0,0,15,3675,5,1,1,1,2879
73,199,0,296,3,4481,7,1,1,1,1755
74,196,0,7704,9,5678,4,1,0,1,3155
75,234,1,1291,5,2231,2,2,0,1,1757
76,325,0,2134,13,3885,4,1,0,1,1028
77,322,0,6388,0,1413,0,2,0,0,598
78,390,0,6352,5,1913,7,1,1,1,1298
79,56,0,0,3,5084,5,1,1,1,3081
80,193,0,4065,13,1812,2,2,0,1,1372
81,314,1,473,5,4167,2,2,0,1,1189
82,368,0,3142,13,4425,8,1,2,2,2906
83,322,0,7860,9,4643,0,2,0,0,545
84,322,1,1987,0,3855,0,1,2,3,2224
85,355,1,6745,6,4046,7,1,1,1,1875
86,65,0,1402,6,3557,6,2,1,1,2012
87,322,1,2658,2,3404,0,1,2,3,2332
88,81,1,6669,13,1597,2,2,0,1,615
89,409,0,2707,10,2341,4,1,0,1,1250
90,408,0,2759,6,2515,3,1,2,0,355
91,262,0,6158,4,204,4,1,0,1,636
92,396,0,2190,14,662,5,1,1,1,1160
93,397,0,3658,6,752,6,2,1,1,579
94,291,0,1311,8,2249,6,2,1,1,1077
95,322,0,176,5,2428,0,2,0,0,459
96,318,0,6883,5,5518,4,1,0,1,1045
97,252,1,4875,6,4406,6,2,1,1,2549
98,322,0,1703,9,3199,0,1,2,3,2784
99,252,1,4877,6,4422,2,2,0,1,1110
100,329,0,4288,5,3235,5,1,1,1,1438
101,322,1,3186,13,4114,0,1,2,3,2090
102,227,1,6446,13,4128,4,1,0,1,2605
103,368,1,1356,14,169,1,0,2,1,620
104,398,0,2194,13,4911,8,1,2,2,2276
105,371,1,3259,3,2883,1,0,2,1,1730
106,298,1,6464,0,3622,1,0,2,1,1432
107,106,1,0,0,2480,5,1,1,1,1905
108,322,0,7845,14,5138,0,2,0,0,628
109,338,0,2371,14,254,1,0,2,1,734
110,329,0,5184,4,5288,2,2,0,1,644
111,261,0,18,5,1831,7,1,1,1,2020
112,322,1,4348,10,4044,0,2,0,0,162
113,322,0,4721,13,2493,0,1,2,3,2685
114,276,1,0,1,3915,5,1,1,1,2258
115,171,0,2087,5,5402,4,1,0,1,3233
116,369,1,7399,5,4572,7,1,1,1,2954
117,170,0,4588,13,2056,6,2,1,1,1911
118,312,0,2793,14,2858,7,1,1,1,1918
119,313,0,2736,13,5172,8,1,2,2,978
120,326,0,2317,9,451,7,1,1,1,629
121,323,0,4250,14,3500,5,1,1,1,1631
122,403,1,7552,3,1484,3,1,2,0,176
123,243,1,2743,3,4497,6,2,1,1,2196
